,Year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Department.Of.Labor.Uncleaned.Data,Department.Of.Labor.Cleaned.Low.Value,Department.Of.Labor.Cleaned.Low.Value.2020.Dollars,Department.Of.Labor.Cleaned.High.Value,Department.Of.Labor.Cleaned.High.Value.2020.Dollars,Footnote,unemployment_rate
648,1980,Alabama,0.0,0.0,3.1,9.73,3.1,9.73,82.4,...,0.0,0.0,0.0,0.0,,8.9
649,1980,Alaska,3.6,11.3,3.1,9.73,3.6,11.3,82.4,3.6,3.6,11.3,3.6,11.3,,9.6
650,1980,Arizona,0.0,0.0,3.1,9.73,3.1,9.73,82.4,...,0.0,0.0,0.0,0.0,,6.6
651,1980,Arkansas,2.55,8.0,3.1,9.73,3.1,9.73,82.4,2.55,2.55,8.0,2.55,8.0,,7.6
652,1980,California,2.9,9.1,3.1,9.73,3.1,9.73,82.4,2.9,2.9,9.1,2.9,9.1,,6.8
653,1980,Colorado,1.9,5.96,3.1,9.73,3.1,9.73,82.4,1.9,1.9,5.96,1.9,5.96,,5.8
654,1980,Connecticut,3.12,9.79,3.1,9.73,3.12,9.79,82.4,3.12,3.12,9.79,3.12,9.79,,5.8
655,1980,Delaware,2.0,6.28,3.1,9.73,3.1,9.73,82.4,2,2.0,6.28,2.0,6.28,,7.6
656,1980,District of Columbia,2.5,7.85,3.1,9.73,3.1,9.73,82.4,2.50 - 3.50,2.5,7.85,3.5,10.99,,7.4
657,1980,Florida,0.0,0.0,3.1,9.73,3.1,9.73,82.4,...,0.0,0.0,0.0,0.0,,6.1
658,1980,Georgia,1.25,3.92,3.1,9.73,3.1,9.73,82.4,1.25,1.25,3.92,1.25,3.92,,6.3
660,1980,Hawaii,2.9,9.1,3.1,9.73,3.1,9.73,82.4,2.9,2.9,9.1,2.9,9.1,,5.0
661,1980,Idaho,2.3,7.22,3.1,9.73,3.1,9.73,82.4,2.3,2.3,7.22,2.3,7.22,,7.5
662,1980,Illinois,2.3,7.22,3.1,9.73,3.1,9.73,82.4,2.3,2.3,7.22,2.3,7.22,,8.2
663,1980,Indiana,2.0,6.28,3.1,9.73,3.1,9.73,82.4,2,2.0,6.28,2.0,6.28,,9.6
